iter	RMSE
0	5080464.632
1	4741561.604
2	4440110.027
3	4177269.998
4	3960091.068
5	3756434.667
6	3576122.165
7	3416234.578
8	3276889.262
9	3164312.813
10	3052894.858
11	2948272.18
12	2862447.776
13	2781690.678
14	2696254.343
15	2630213.515
16	2563472.662
17	2487150.3
18	2427451.692
19	2373882.075
20	2328486.712
21	2289230.595
22	2254883.784
23	2216501.334
24	2184950.958
25	2152511.97
26	2124208.524
27	2103070.853
28	2082706.889
29	2066041.869
30	2052280.235
31	2034024.884
32	2019534.56
33	1992374.652
34	1976907.949
35	1957518.835
36	1944115.07
37	1929087.836
38	1922017.721
39	1906236.93
40	1889459.66
41	1873034.342
42	1863512.39
43	1852297.538
44	1838557.397
45	1830219.172
46	1825043.835
47	1818307.076
48	1799267.167
49	1791689.153
50	1784629.583
51	1772800.9
52	1762461.698
53	1759935.152
54	1753157.305
55	1740671.351
56	1736120.525
57	1735543.695
58	1734948.557
59	1726755.738
60	1722739.433
61	1712144.495
62	1699617.856
63	1698809.811
64	1695786.78
65	1684268.563
66	1676921.339
67	1670519.642
68	1660948.379
69	1658315.131
70	1655389.035
71	1654617.714
72	1647673.168
73	1642449.168
74	1640481.752
75	1638911.786
76	1633348.354
77	1621869.075
78	1621463.104
79	1615361.262
80	1607485.785
81	1602424.095
82	1594505.496
83	1592395.471
84	1587045.91
85	1576922.045
86	1573011.492
87	1568399.249
88	1562207.203
89	1560514.146
90	1558457.77
91	1557765.02
92	1555679.404
93	1548288.057
94	1548020.337
95	1544772.596
96	1543096.521
97	1540124.082
98	1536983.673
99	1533819.169
100	1527152.095
101	1523148.819
102	1521691.942
103	1517506.848
104	1513037.872
105	1508695.448
106	1507562.837
107	1504915.436
108	1502529.26
109	1496622.061
110	1494208.067
111	1491017.861
112	1490357.502
113	1488798.535
114	1488556.755
115	1485799.79
116	1480120.839
117	1475878.799
118	1475683.09
119	1471978.167
120	1468198.712
121	1462925.178
122	1460876.079
123	1458956.567
124	1453767.328
125	1453586.753
126	1450979.567
127	1450810.695
128	1447578.859
129	1439167.258
130	1438976.843
131	1438536.487
132	1434839.852
133	1434036.653
134	1431782.357
135	1431621.973
136	1425633.507
137	1422093.953
138	1420479.445
139	1417695.465
140	1414268.904
141	1410142.516
142	1409647.853
143	1405686.38
144	1402142.153
145	1401024.519
146	1400773.405
147	1396244.244
148	1390525.47
149	1389283.125
150	1386431.295
151	1380640.565
152	1378742.12
153	1374320.584
154	1370928.762
155	1367785.375
156	1366212.482
157	1365103.101
158	1363776.828
159	1363200.665
160	1358286.294
161	1357427.905
162	1352910.019
163	1351963.912
164	1348155.519
165	1345316.339
166	1342598.916
167	1342449.587
168	1341497.342
169	1341356.725
170	1338233.664
171	1336536.574
172	1333437.175
173	1332155.594
174	1332018.32
175	1327974.021
176	1324963.297
177	1323231.992
178	1321019.821
179	1317151.814
180	1314980.176
181	1314418.317
182	1314281.087
183	1314156.574
184	1314038.704
185	1310894.479
186	1306064.385
187	1302579.184
188	1300610.332
189	1300179.927
190	1298776.453
191	1297807.154
192	1297623.804
193	1294404.725
194	1293681.499
195	1291205.671
196	1289747.077
197	1289101.173
198	1286957.528
199	1284507.802
200	1282921.213
201	1282100.587
202	1280353.698
203	1279976.772
204	1278339.226
205	1276348.328
206	1274593.426
207	1272441.115
208	1271588.557
209	1267486.45
210	1265683.883
211	1263721.109
212	1261607.942
213	1259260.614
214	1256739.688
215	1255734.09
216	1254690.107
217	1253181.349
218	1251458.139
219	1250143.435
220	1249645.28
221	1245830.971
222	1245048.563
223	1240950.02
224	1238705.794
225	1238475.61
226	1238253.299
227	1237531.181
228	1236870.262
229	1236767.493
230	1235338.827
231	1233670.556
232	1232453.874
233	1232256.229
234	1231478.607
235	1230520.79
236	1226199.53
237	1225058.968
238	1220796.393
239	1219052.488
240	1216067.772
241	1214538.327
242	1213758.165
243	1213049.151
244	1211962.657
245	1211176.008
246	1210465.039
247	1209999.031
248	1207790.865
249	1207492.822
250	1207226.917
251	1204629.111
252	1203522.119
253	1203350.93
254	1202856.846
255	1202676.489
256	1201802.963
257	1197187.691
258	1197023.722
259	1194122.842
260	1192765.632
261	1192191.144
262	1191849.601
263	1191734.289
264	1189238.717
265	1187475.481
266	1183685.145
267	1181773.623
268	1181672.494
269	1180948.644
270	1179078.142
271	1176624.1
272	1175758.927
273	1175450.163
274	1174530.114
275	1173295.295
276	1172044.384
277	1168928.268
278	1168433.292
279	1168013.995
280	1167280.455
281	1165441.028
282	1164881.989
283	1162377.401
284	1162153.241
285	1160808.975
286	1159218.331
287	1157409.325
288	1156403.109
289	1155664.568
290	1155024.497
291	1153770.61
292	1153385.483
293	1152827.756
294	1152453.774
295	1152098.511
296	1150977.826
297	1149175.082
298	1148450.523
299	1147762.027
300	1147488.184
301	1146452.849
302	1145327.135
303	1144855.299
304	1143700.505
305	1142810.745
306	1142748.081
307	1140892.269
308	1140548.278
309	1138212.118
310	1137287.182
311	1136147.074
312	1135167.03
313	1134739.283
314	1133730.033
315	1133233.741
316	1132391.782
317	1130934.799
318	1129177.024
319	1128552.754
320	1127559.521
321	1126418.07
322	1123107.7
323	1122837.599
324	1122579.322
325	1122010.241
326	1121300.543
327	1120832.698
328	1120654.193
329	1119366.967
330	1119317.731
331	1118503.439
332	1117161.717
333	1115799.941
334	1114884.613
335	1113625.396
336	1113397.918
337	1113354.307
338	1113322.535
339	1112571.59
340	1112231.572
341	1111438.862
342	1110901.583
343	1108942.369
344	1107851.939
345	1106658.544
346	1106424.031
347	1105884.744
348	1105187.955
349	1104310.079
350	1103627.885
351	1102771.717
352	1100970.569
353	1100152.574
354	1100019.019
355	1099634.08
356	1099066.363
357	1098938.421
358	1098611.441
359	1098527.439
360	1097436.451
361	1097011.682
362	1096802.242
363	1096510.322
364	1095305.333
365	1095174.939
366	1094500.378
367	1094412.446
368	1093335.155
369	1093180.478
370	1091967.207
371	1091892.118
372	1091718.983
373	1090762.353
374	1089952.973
375	1088803.787
376	1087468.582
377	1086467.913
378	1085899.499
379	1085524.672
380	1085452.545
381	1084900.35
382	1084102.5
383	1083469.881
384	1082571.799
385	1082270.476
386	1082144.407
387	1080646.732
388	1079429.713
389	1078282.677
390	1077928.2
391	1076270.767
392	1074477.125
393	1073833.973
394	1073717.796
395	1072881.962
396	1072460.567
397	1072138.558
398	1070919.187
399	1070769.82
400	1069905.92
401	1069330.081
402	1068626.464
403	1068374.385
404	1067917.714
405	1066988.657
406	1065287.353
407	1064701.648
408	1064348.827
409	1063681.103
410	1063020.567
411	1062601.101
412	1062015.942
413	1061419.412
414	1061080.185
415	1060262.274
416	1058989.257
417	1057715.672
418	1057293.294
419	1056371.283
420	1054607.93
421	1054061.053
422	1051911.333
423	1051416.647
424	1050998.942
425	1050057.806
426	1050027.244
427	1048772.94
428	1048032.847
429	1047934.168
430	1047269.603
431	1046935.058
432	1046487.579
433	1046164.297
434	1044978.699
435	1043919.074
436	1043326.933
437	1043187.85
438	1043166.244
439	1041967.48
440	1041581.248
441	1041189.605
442	1039559.031
443	1038685.005
444	1037305.442
445	1036776.364
446	1036271.086
447	1034992.305
448	1034193.213
449	1033454.918
450	1032672.856
451	1032495.021
452	1032396.173
453	1030411.074
454	1030070.222
455	1029902.058
456	1029198.045
457	1027839.426
458	1026993.376
459	1026039.659
460	1024634.434
461	1024275.814
462	1023542.678
463	1022524.181
464	1022067.175
465	1020957.132
466	1020374.261
467	1020218.252
468	1020165.914
469	1020029.464
470	1019736.47
471	1019120.395
472	1018950.124
473	1018487.972
474	1018354.335
475	1016635.942
476	1016263.799
477	1015663.393
478	1015251.239
479	1014925.304
480	1014756.649
481	1014365.247
482	1012807.93
483	1012733.704
484	1012255.286
485	1011595.077
486	1011117.814
487	1010935.135
488	1009984.484
489	1009922.503
490	1009653.76
491	1008878.829
492	1008802.36
493	1008666.39
494	1008079.222
495	1007186.089
496	1006394.135
497	1005928.554
498	1005389.842
499	1004414.534
