iter	Passed	Remaining
0	132	65899
1	265	66138
2	396	65761
3	502	62282
4	612	60641
5	714	58839
6	821	57853
7	924	56826
8	1024	55904
9	1126	55197
10	1259	55976
11	1363	55437
12	1476	55301
13	1588	55131
14	1706	55179
15	1816	54963
16	1930	54849
17	2124	56882
18	2273	57557
19	2391	57395
20	2515	57367
21	2638	57326
22	2763	57304
23	2890	57319
24	2999	56991
25	3112	56748
26	3242	56807
27	3436	57934
28	3555	57753
29	3678	57631
30	3791	57366
31	3920	57339
32	4049	57305
33	4183	57334
34	4310	57262
35	4447	57328
36	4589	57429
37	4715	57328
38	4859	57436
39	4999	57499
40	5140	57545
41	5283	57614
42	5427	57685
43	5563	57661
44	5715	57791
45	5842	57665
46	5978	57627
47	6080	57255
48	6194	57014
49	6314	56832
50	6421	56531
51	6537	56322
52	6641	56012
53	6746	55724
54	6866	55553
55	6985	55385
56	7097	55162
57	7135	54377
58	7170	53593
59	7282	53403
60	7401	53265
61	7526	53171
62	7644	53028
63	7751	52809
64	7871	52678
65	7986	52514
66	8101	52354
67	8207	52138
68	8311	51913
69	8428	51777
70	8542	51618
71	8643	51380
72	8757	51225
73	8858	50994
74	8958	50762
75	9059	50544
76	9173	50392
77	9293	50280
78	9386	50024
79	9507	49914
80	9619	49757
81	9724	49569
82	9837	49426
83	9946	49259
84	10060	49119
85	10173	48973
86	10280	48801
87	10397	48679
88	10518	48573
89	10621	48386
90	10731	48231
91	10845	48096
92	11007	48172
93	11154	48177
94	11207	47780
95	11314	47615
96	11438	47524
97	11549	47378
98	11665	47249
99	11792	47171
100	11908	47044
101	12014	46881
102	12123	46729
103	12283	46772
104	12399	46644
105	12508	46494
106	12615	46334
107	12719	46165
108	12846	46082
109	12962	45958
110	13068	45800
111	13203	45740
112	13323	45631
113	13437	45500
114	13546	45351
115	13663	45230
116	13764	45056
117	13897	44991
118	13966	44716
119	14084	44601
120	14204	44491
121	14315	44355
122	14425	44215
123	14541	44093
124	14655	43965
125	14719	43691
126	14843	43594
127	14881	43250
128	15011	43173
129	15131	43065
130	15198	42810
131	15306	42673
132	15447	42624
133	15563	42510
134	15677	42386
135	15729	42099
136	15842	41976
137	15955	41854
138	16077	41754
139	16210	41684
140	16345	41617
141	16455	41485
142	16559	41341
143	16679	41234
144	16787	41100
145	16912	41006
146	17036	40910
147	17146	40779
148	17261	40662
149	17374	40541
150	17512	40476
151	17634	40372
152	17743	40242
153	17869	40148
154	17991	40046
155	18120	39957
156	18241	39852
157	18356	39734
158	18468	39609
159	18571	39464
160	18692	39359
161	18807	39239
162	18916	39109
163	19030	38989
164	19139	38858
165	19255	38742
166	19355	38595
167	19477	38491
168	19586	38361
169	19708	38257
170	19821	38135
171	19937	38021
172	20046	37890
173	20172	37794
174	20280	37663
175	20390	37536
176	20505	37420
177	20636	37332
178	20750	37211
179	20865	37093
180	20970	36959
181	21078	36829
182	21181	36692
183	21299	36579
184	21414	36463
185	21556	36390
186	21670	36272
187	21782	36149
188	21909	36052
189	22017	35923
190	22135	35810
191	22241	35679
192	22353	35557
193	22470	35442
194	22590	35334
195	22705	35216
196	22816	35093
197	22936	34984
198	23056	34874
199	23171	34756
200	23285	34638
201	23398	34518
202	23510	34397
203	23630	34286
204	23740	34163
205	23856	34047
206	23967	33925
207	24086	33814
208	24198	33692
209	24301	33559
210	24418	33445
211	24521	33311
